1|Государственное автономное учреждение здравоохранения «Энгельсская городская больница № 2»|413124, Саратовская область, г.Энгельс, ул.Полиграфическая, д.1|1|(8453) 52-82-42|Додин Сергей Викторович|http://enggb2.medportal.saratov.gov.ru/|В настоящее время больница представляет собой современный многопрофильный стационар, развернутый на 405 круглосуточных коек и 40 коек дневного стационара, с большими диагностическими и реабилитационными возможностями, с двумя отделениями реанимации и интенсивной терапии. Учреждение имеет лицензии на медицинскую деятельность, на работу с наркотическими и психотропными веществами, на фармацевтическую деятельность. Свою деятельность учреждение, в соответствии с лицензией, выполняет в рамках обязательного медицинского страхования.
1,3|Государственное автономное учреждение здравоохранения «Энгельсская городская клиническая больница № 1»|413116, Саратовская область, г.Энгельс, ул. Весенняя, д.6|1|(8453) 51-59-02|Столяров Игорь Константинович|http://enggb1.medportal.saratov.gov.ru/|ГАУЗ «Энгельсская городская клиническая больница №1» самое крупное медицинское учреждение Энгельсского муниципального района, функционирует с 1 июля 1965 года. Прием ведут врачи по 25 специальностям. В поликлинике так же проводятся профилактические осмотры (предварительные при поступлении на работу, периодические, целевые). Имеется лицензия на оформление справок на ношение и хранение оружия, вождение маломерных судов и автомобилей. ЭГКБ №1 обслуживает население города Энгельса и Энгельсского района, а также жителей пяти прикрепленных районов Заволжья: Ровенского, Марксовского, Советского, Федоровского, Краснокутского и является единственным учреждением хирургического профиля Энгельсского муниципального района, оказывающим круглосуточную специализированную медицинскую. В больнице работает высококвалифицированный медицинский персонал. Городская больница №1 известна своими славными профессиональными традициями, которые способствуют успешному развитию медицины.
3|Государственное автономное учреждение здравоохранения «Энгельсская городская поликлиника № 3»|413111, Саратовская область, г.Энгельс, пр-кт Строителей, д.5|1|(8453) 72-04-00|Ивановский Андрей Григорьевич|http://enggp3.medportal.saratov.gov.ru/|В настоящее время ГАУЗ «Энгельсская городская поликлиника № 3» является многопрофильным медицинским учреждением, оказывающим амбулаторно-поликлиническую помощь населению по территориальному принципу и обслуживает 65727 человек взрослого населения. Учреждение обслуживает значительную часть населения города. Это 1-ый и 2-ой микрорайоны имени Урицкого, Текстильный посёлок, микрорайон посёлка Строителей. Целями и задачами деятельности ГАУЗ «Энгельсская городская поликлиника № 3» является: повышение качества и доступности медицинской помощи для населения, сохранение и укрепление здоровья обслуживаемого населения, оказание высококвалифицированной и специализированной медицинской помощи, проведение мероприятий по профилактике заболеваний, оказание консультационной помощи обратившимся пациентам
5|Государственное автономное учреждение здравоохранения «Энгельсская городская стоматологическая поликлиника»"|413100, Саратовская область, г.Энгельс, ул.Маяковского, д.1|1|(8453) 55-80-88(взр.), 55-84-70(дет.)|Тарабрина Ирина Михайловна|http://enggstomp.medportal.saratov.gov.ru/|Возможности ГАУЗ «Энгельсская городская стоматологическая поликлиника» позволяют комплексно решать все стоматологические проблемы пациентов. В каждом взрослом лечебно- профилактическом отделении ведется терапевтический, хирургический и ортопедический прием, в детском отделении - терапевтический, хирургический и ортодонтический прием. Стоматологическая помощь оказывается по территориальной программе обязательного медицинского страхования и в соответствии с действующими стандартами. Поликлиника имеет три зуботехнических лаборатории, централизованную литейную. В каждом подразделении проводится рентгенодиагностика, в том числе ортопантомография, работают физиотерапевтические кабинеты. В поликлинике ведут прием врачи - пародонтологи. В поликлинике работает более 250 человек, в том числе 96 врачей-стоматологов и зубных врачей. Мощность поликлиники – 550 посещений в день. Нетранспортабельным больным и инвалидам стоматологическая помощь оказывается на дому.
8,9|Государственное автономное учреждение здравоохранения «Энгельсский перинатальный центр»|413116, Саратовская область, г.Энгельс, ул.Весенняя, д.8|1|(8453) 54-15-09|Реброва Анастасия Анатольевна|http://engperc.medportal.saratov.gov.ru/|ГАУЗ "Энгельсский перинатальный центр" - лечебное учреждение для оказания высококвалифицированной акушерско-гинекологической и неонатальной помощи на 389 круглосуточных коек. Это межрайонный центр по оказанию стационарной акушерской помощи жительницам города Энгельса и Энгельсского района, беременным и роженицам группы высокого и среднего риска по материнской и перинатальной смертности левобережных районов области. Перинатальный центр является базой кафедры акушерства и гинекологии ФПК и ППС Саратовского государственного медицинского университета, где проводится обучение врачей-интернов и клинических ординаторов по акушерству-гинекологии, практической базой для обучения студентов Энгельсского медицинского колледжа. Сотрудники кафедры, среди которых 1 доктор медицинских наук, 11 кандидатов медицинских наук, оказывают постоянную консультативную помощь пациентам Перинатального центра, разрабатывают новейшие методы диагностики, лечения и реабилитации больных.
1,2,3,4,8|Государственное автономное учреждение здравоохранения Саратовской области «Энгельсская районная больница»|413112, Саратовская область, г. Энгельс, Волжский пр-т, д.61|1|(8453) 75-26-06|Афанасьев Михаил Валерьевич|http://engerb.medportal.saratov.gov.ru/|ГАУЗ СО «Энгельсская районная больница» - это многоструктурное лечебное учреждение, которое находится на территории Энгельсского муниципального района. Оно по праву считается самым крупным учреждением сельского здравоохранения в области, так как в его структуру, помимо поликлиники, входят три участковые больницы в селах: Безымянское, Узморье, Осиновка, пять амбулаторий в селах: Красный яр, Новопушкинское, Пробуждение, Генеральское и Коминтерн. Сельское население обслуживает отделение врача общей практики в с. Березовка, 31 фельдшерско-акушерских пункта, самый отдаленный из которых находится на расстоянии примерно 100 километров от центральной поликлиники. Учреждение оказывает следующие виды медицинской помощи: доврачебная медицинская помощь, первичная медико-санитарная помощь, медицинская помощь женщинам в период беременности, во время и после родов, специализированной медицинской помощи, стационарная медицинская помощь при осуществлении первичной медико-санитарной помощь
12|Государственное учреждение здравоохранения «Саратовский областной клинический кожно-венерологический диспансер»|413125, Саратовская область, г. Энгельс, ул. Колотилова, д.50|1|(8453) 54-65-56|Шнайдер Дмитрий Александрович|http://engsokvd.medportal.saratov.gov.ru/|В настоящее время ГУЗ «Саратовский областной кожно-венерологический диспансер» является ведущим специализированным лечебным учреждением области, осуществляющим проведение профилактических мероприятий по предупреждению распространения венерических и заразных кожных заболеваний, оказание высококвалифицированной помощи заболевшим, организационно-методическое руководство борьбы с этими заболеваниями, осуществляемой учреждениями общей сети здравоохранения и подведомственными профильными учреждениями. Специалистами разработана областная целевая программа«Неотложные меры борьбы с заболеваниями, передающимися половым путем», которая позволяет решать вопросы бесплатного обеспечения современными тест-системами и лекарственными препаратами амбулаторных пациентов. В рамках федеральной целевой программы «Предупреждение и борьба с социально значимыми заболеваниями» на базе диспансера работает Центр «Доверие» по оказанию бесплатной и конфиденциальной дерматовенерологической помощи детям и подросткам
4|Государственное учреждение здравоохранения «Энгельсская городская детская поликлиника № 2»|413111, Саратовская область, г.Энгельс, ул. Одесская, д.64|1|(8453) 95-38-95, 95-06-02, 79-27-11|Ермакова Наталия Викторовна|http://engdgp2.medportal.saratov.gov.ru/|ГУЗ « Энгельсская городская детская поликлиника № 2 » имеет хорошо оснащенную базу для реабилитационного и восстановительного лечения: физиотерапевтический кабинет, кабинет теплолечения, зал лечебной физкультуры и кабинет массажа, галокамера, аромаингаляторий, водолечение, сауна. На базе отделения восстановительного лечения оздаравливаются дети-инвалиды, дети с хронической соматической патологией, частоболеющие дети. Поликлиника имеет хорошо оснащенную диагностическую базу: клинико-диагностическую лабораторию, где можно провести широкий спектр клинических и биохимических анализов, иммуноферментный анализ сыворотки крови. Кабинет функциональной диагностики, где проводят исследования: электрокардиографию; пневмотахометрию; допплерографию сосудов сердца и мозга; ультразвуковое исследование внутренних органов, тазобедренных суставов, щитовидной железы; кабинет эндоскопии, В ГУЗ «Энгельсская городская детская поликлиника №2» работает 56 врачей и 98 средних медработников. Все специалисты имеют сертификаты.
3|Государственное учреждение здравоохранения «Энгельсская городская поликлиника № 1»|413100, Саратовская область, г.Энгельс, ул.Маяковского, д.1|1|(8453)51-42-20|Мортикова Марина Викторовна|http://enggp1.medportal.saratov.gov.ru/|ГУЗ «Энгельсская городская поликлиника № 1» - одно из крупнейших лечебно-профилактических учреждений г. Энгельса. В 2011 году ГУЗ «ЭГП № 1» признана одним из лучших муниципальных учреждений здравоохранения, и занесена на Доску почета Энгельсского муниципального района. Первичная медицинская помощь населению осуществляется терапевтической службой, в состав которой входят 2 терапевтических отделения. Для повышения доступности и качества медицинских услуг проводятся мероприятия по реализации программы модернизации по разделу "Информатизация": в регистратуре поликлиники автоматизировано 5 рабочих мест, подключены к телекоммуникационным сетям. Установлено 5 инфоматов через которые проводится запись к врачам, выдача талонов на прием. Организована запись к врачу в электронном виде с использованием Интернета.
3,8|Государственное учреждение здравоохранения «Энгельсская городская поликлиника № 2»|413124, Саратовская область, г. Энгельс, ул. М.Василевского, д.25|1|(8453) 55-46-28, 55-49-68|Ковалев Дмитрий Петрович|http://enggp2.medportal.saratov.gov.ru/| 1991 года ГУЗ «Энгельсская городская поликлиника № 2» функционирует как самостоятельное учреждение. Главное направление деятельности поликлиники – профилактическое, направленное на охрану здоровья и формирование здорового образа жизни взрослого населения. Для достижения данной цели в поликлинике оказываются следующие виды медицинской деятельности: профилактическая, диагностическая, реабилитационная, организационно-методическая, пропагандистская ГУЗ «Энгельсская городская поликлиника № 2» имеет в составе: 2 терапевтических отделения, хирургическое отделение, отделение профилактики, женскую консультацию, диагностическое отделение, отделение восстановительной медицины и реабилитации, рентгенофлюорографический кабинет, терапевтический дневной стационар, Центр амбулаторной хирургии, дневной стационар женской консультации.Поликлиника оказывает все виды амбулаторно-поликлинической медицинской помощи, а также неотложную медицинскую помощь.
